Table 1
AP PROGRAM SIZE AND INCREMENTS (BY YEAR),,,,,,,,,,,
YEAR,SCHOOLS*,,STUDENTS,,EXAMS,,COLLEGES,,,,
,#,% Chg,#,% Chg,#,% Chg,#,% Chg,,,
2006,"16,000",,"1,339,282",,"2,312,611",,"3,638",,,,
,,2.9,,9.3,,9.5,,2.9,,,
2007,"16,464",,"1,464,254",,"2,533,431",,"3,743",,,,
,,3.4,,8.0,,8.0,,2.0,,,
2008,"17,032",,"1,580,821",,"2,736,445",,"3,817",,,,
,,2.0,,7.0,,7.1,,-0.2,,,
2009,"17,374",,"1,691,905",,"2,929,929",,"3,809",,,,
,,2.8,,9.0,,9.7,,1.2,,,
2010,"17,861",,"1,845,006",,"3,213,225",,"3,855",,,,
,,2.7,,7.0,,7.6,,3.8,,,
2011,"18,340",,"1,973,545",,"3,456,020",,"4,001",,,,
,,1.7,,6.4,,7.0,,0.1,,,
2012,"18,647",,"2,099,948",,"3,698,407",,"4,005",,,,
,,1.5,,5.6,,6.5,,0.5,,,
2013,"18,920",,"2,218,578",,"3,938,100",,"4,027",,,,
,,3.0,,5.6,,6.0,,2.3,,,
2014,"19,493",,"2,342,528",,"4,176,200",,"4,121",,,,
,,10.8,,6.0,,7.2,,0.8,,,
2015,"21,594",,"2,483,452",,"4,478,936",,"4,154",,,,
,,1.7,,5.1,,5.0,,1.1,,,
2016,"21,953",,"2,611,172",,"4,704,980",,"4,199",,,,
,,1.0,,5.0,,5.4,,0.5,,,
2017,"22,169",,"2,741,426",,"4,957,931",,"4,221",,,,
,,2.0,,2.5,,2.7,,1.6,,,
2018,"22,612",,"2,808,990",,"5,090,324",,"4,287",,,,
,,0.3,,0.6,,0.2,,1.7,,,
2019,"22,678",,"2,825,710",,"5,098,815",,"4,361",,,,
,,-2.3,,-6.5,,-6.8,,-27.5,,,
2020,"22,152",,"2,642,630",,"4,751,957",,"3,160",,,,
,,2.9,,-3.6,,-3.7,,-4.3,,,
2021,"22,802",,"2,548,228",,"4,578,302",,"3,024",,,,
,,0.8,,4.4,,4.0,,26.3,,,
2022,"22,977",,"2,659,914",,"4,762,347",,"3,820",,,,
,,0.4,,7.9,,9.1,,2.3,,,
2023,"23,071",,"2,869,418",,"5,197,601",,"3,907",,,,
,,2.8,,7.3,,10.5,,7.1,,,
2024,"23,722",,"3,079,134",,"5,744,259",,"4,186",,,,
,,-0.2,,5.4,,7.6,,2.6,,,
2025,"23,664",,"3,243,979",,"6,182,171",,"4,295",,,,
,, ,, ,, ,, ,,,
,,,,,,,,,,,
"*This represents the number of schools offering AP Exams to one or more students. Beginning in 2015, the school counts include schools that did not order or administer AP Exams, but had students test at other schools. These schools were not included in prior years' counts. ",,,,,,,,,,,
,,,,,,,,,,,
"Copyright - © 2025 College Board. College Board, Advanced Placement, AP, AP Central, and the acorn logo are registered trademarks of College Board.",,,,,,,,,,,
